K/Si,SHAP value
0.0,-0.000648999378545615
0.0,-0.0006066446103220613
0.0,-0.0005080795416784213
0.0,-0.0011061791211814144
0.0,-0.0005621188781674625
0.0,-0.0007988747354484726
0.0,-0.0006069822742847694
0.0,-0.0009098967674703857
0.0,-0.0008300887397175929
0.0,-0.0010229815563323325
0.0,-0.00043502320064118936
0.0,-0.0007007646081710672
0.0,-0.000658905961343036
0.0,-0.0010101619299071765
0.0,-0.0006432963219104656
0.0,-0.0007157365175201161
0.0,-0.0008725431828820459
0.0,-0.0008739108904255735
0.0,-0.0007494462712544955
0.0,-0.0007175187284540805
0.0,-0.0006169950240077594
0.0,-0.0011258530137733562
0.0,-0.0004644626817758853
0.0,-0.0010604309923035588
0.0,-0.0004527352034119068
0.0,-0.0007603619185013486
0.0,-0.0007185232529307784
0.0,-0.0011018482660217603
0.0,-0.0005907425136691908
0.0,-0.0008640110137375592
0.0,-0.0004482132468540845
0.0,-0.0007356429770109578
0.0,-0.001538291232590801
0.0,-0.00056710913997291
0.0,-0.0007389293915876014
0.0,-0.0012812728000303213
0.0,-0.0007150388404034493
0.0,-0.0010664604932777795
0.0,-0.0006224468901508496
0.0,-0.0007226212340605936
0.0,-0.0004695987184342888
0.0,-0.000638922020694247
0.0,-0.0010482438963864812
0.0,-0.0007131500790915346
0.0,-0.0005421436691019854
0.0,-0.0005042745370103221
0.0,-0.0007996011868104449
0.0,-0.0006885774132101134
0.0,-0.0015234628947053642
0.0,-0.0008209741425827495
0.0,-0.0014541658342948698
0.0,-0.00045775142179481436
0.0,-0.0004739136031049999
0.0,-0.0005848839141795118
0.0,-0.0008279074907203248
0.0,-0.0004739662286561524
0.0,-0.0009206877224824494
0.0,-0.0018176504152478351
0.0,-0.0010631573708115062
0.0,-0.0012945694742738157
0.0,-0.0007731781453865374
0.0,-0.0011261478150497747
0.0,-0.000983654916636209
0.0,-0.006437435181978623
0.0,-0.0005696182820221351
0.0,-0.001069626392603253
0.0,-0.0007438070225969782
0.0,-0.0003972615690896621
0.0,-0.0007443184371286245
0.0,-0.0010368212681027714
0.0,-0.006091112770444955
0.0,-0.000600557054538694
0.0,-0.0006382191795527157
0.0,-0.0006498163806667122
0.0,-0.002942031624230198
0.0,-0.0014695413006071785
0.0,-0.0007195851926492092
0.0,-0.0006819607376100979
0.0,-0.0010291670605760326
0.0,-0.0008015512377162433
0.0,-0.0010582837952614471
0.0,-0.0007289139911811098
0.0,-0.004159313781499931
0.0,-0.001204489511542662
0.0,-0.0006461429500614224
0.0,-0.0011224139102613481
0.0,-0.0006821123638854269
0.0,-0.0026515965320125477
0.0,-0.0004751802808114144
0.0,-0.0005576244109437947
0.0,-0.0005992312557038258
0.0,-0.0011184734546798815
0.0,-0.0006253711407308944
0.0,-0.0006247986208475393
0.0,-0.0006616965037393556
0.0,-0.000758561339183377
0.0,-0.0007085605173603434
0.0,-0.0007345336065792778
0.0,-0.0005194909346673367
0.0,-0.001141617175545548
0.0,-0.0006498437403980214
0.0,-0.001086189958538352
0.0,-0.00144288395535952
0.0,-0.0006198078436024765
0.0,-0.0007166398796460123
0.0,-0.0005521506715254879
0.0,-0.0004051444200937373
0.0,-0.0005505678135913433
0.0,-0.00046984773530845525
0.0,-0.0005600996167151252
0.0,-0.0006949433233632698
0.0,-0.0008198217491957021
0.0,-0.0007430175159969185
0.0,-0.0005725180647141176
0.0,-0.0005854151122062459
0.0,-0.000681360825450263
0.0,-0.0008021724151267105
0.0,-0.0006430603794305798
0.0,-0.0007575315610480937
0.0,-0.003322475936276686
0.0,-0.005887166450496412
0.0,-0.0015620263862029147
0.0,-0.0004485345636855925
0.0,-0.004100205765087519
0.0,-0.0004888879717623311
0.0,-0.0011347124590350866
0.0,-0.0007795809621448421
0.0,-0.0008364974062731926
0.0,-0.0011984980535210985
0.0,-0.0016425732346845333
0.0,-0.000481737986551873
0.0,-0.0007112671995923466
0.0,-0.0007908130475775955
0.0,-0.0007038900342077038
0.0,-0.0012283363513629012
0.0,-0.0011042475844714051
0.0,-0.0006137317263806807
0.0,-0.000720293362211097
0.0,-0.0012535639316366164
0.0,-0.0006148153323852231
0.0,-0.0004935076658407008
0.0,-0.0006241848423931307
0.0,-0.0012766648308958975
0.0,-0.000672924975725769
0.0,-0.0011269434840730378
0.0,-0.0014718329732440348
0.0,-0.0012720654977467498
0.0,-0.005693093687762795
0.0,-0.0006523948673923651
0.0,-0.0006433089752103383
0.0,-0.0009307414372376873
0.0,-0.0006761392628216145
0.0,-0.000853987253941032
0.0,-0.0009059271886737423
0.0,-0.0007994746645266126
0.0,-0.000830322142839723
0.0,-0.0008153890328765043
0.0,-0.0016977315757899106
0.0,-0.0007439601515486511
0.0,-0.0005027468899527152
0.0,-0.0007260631509683938
0.0,-0.0010791467116006818
0.0,-0.0004547832221856233
0.0,-0.0008665525268228095
0.0,-0.0007642158568396375
0.0,-0.0012819576471290231
0.0,-0.0006268386883076051
0.0,-0.0010654891405876383
0.0,-0.0004923139701905175
0.0,-0.0007085351264231253
0.0,-0.0006978672809253584
0.0,-0.001594619698128523
0.0,-0.0005928444680192894
0.0,-0.0010684335412979014
0.0,-0.00114791153052795
0.0,-0.0014242053776267955
0.0,-0.0005362564937118776
0.0,-0.0006982521667985303
0.0,-0.00046552521898022956
0.0,-0.0005955979757725251
0.0,-0.0009429919702548629
0.0,-0.0006279372761677225
0.0,-0.0005668065455885261
0.0,-0.0009086114755681017
0.0,-0.0012253806066542907
0.0,-0.0006556208258070564
0.0,-0.0006340759029176543
0.0,-0.0006445478798912587
0.0,-0.0007670644788415593
0.0,-0.0008672495785279876
0.0,-0.0008338111479190985
0.0,-0.00141176197228834
0.0,-0.0008030951813036483
0.0,-0.0007141029161220355
0.0,-0.0004941271671475237
0.0,-0.0008015355119437017
0.0,-0.006289709980281425
0.0,-0.00041171116332902765
0.0,-0.0036596662646894065
0.0,-0.0018246562726111728
0.0,-0.00046534699018944774
0.0,-0.0008385355722654131
0.0,-0.0007786081073132935
0.0,-0.0008283548515948386
0.0,-0.0007862470138909598
0.0,-0.001338460890597437
0.0,-0.0010817853058583664
0.0,-0.0006552475257037981
0.0,-0.00043523310022316683
0.0,-0.001422197392860242
0.0,-0.0006147547504065785
0.0,-0.0007951857301337599
0.0,-0.0006996251546336802
0.0,-0.00041558598092121334
0.0,-0.001019072922179279
0.0,-0.004208884711584324
0.0,-0.00045176677349270813
0.0,-0.0005654824415288131
0.0,-0.0032755869146296255
0.0,-0.0008353483661150817
0.0,-0.0007012727196723909
0.0,-0.00736554760638827
0.0,-0.0007647737281218794
0.0,-0.006289634216361243
0.0,-0.0005664759087841055
0.0,-0.005430652434137194
0.0,-0.001526519824341947
0.0,-0.0008534243181187013
0.0,-0.0006691972581401354
0.0,-0.0011031275121994853
0.0,-0.0008530761170447093
0.0,-0.0007842327511931704
0.0,-0.0006374888613385216
0.0,-0.0006208180998521011
0.0,-0.0007040749744164116
0.0,-0.0005857340711469744
0.0,-0.000465900474941722
0.0,-0.0007084266729716376
0.0,-0.003485608906235837
0.0,-0.00090277329243909
0.0,-0.0005958509474558189
0.0,-0.0016561246233199281
0.0,-0.0006103505365704441
0.0,-0.0007053273718678381
0.0,-0.0007150388404034493
0.0,-0.00047402709153066664
0.0,-0.0005552191962358288
0.0,-0.0008739108904255735
0.0,-0.0006528812131534853
0.0,-0.000658705495530329
0.0,-0.00043298788184281
0.0,-0.0012200423372505235
0.0,-0.0005264486589691956
0.0,-0.0006745563983418992
0.0,-0.0010550711830396016
0.0,-0.0005440137891294884
0.0,-0.0005757917717762399
0.0,-0.0006362850291280625
0.0,-0.0008578308049637878
0.0,-0.0012741741810540091
0.0,-0.0006811830638937214
0.0,-0.0007167939154979876
0.0,-0.0005995270908243602
0.0,-0.0007418302683824696
0.0,-0.0006868391703838406
0.0,-0.000749315750478086
0.0,-0.0008671672336529235
0.0,-0.001197854366391028
0.0,-0.0008696129648085476
0.0,-0.0006654937806176812
0.0,-0.0006755855131342112
0.0,-0.0013319703009782827
0.0,-0.0006743557587164236
0.0,-0.0006509793395912532
0.0,-0.0010406166021565046
0.0,-0.0007974836694513359
0.0,-0.0006509319614058118
0.0,-0.0006127229092216205
0.0,-0.0007661888736593188
0.0,-0.0008279074907203248
0.0,-0.0007005475532100726
0.0,-0.0009047820205123472
0.0,-0.0012904207508128464
0.0,-0.0008794039561316412
0.0,-0.0006181584200486298
0.0,-0.0008393617536551613
0.0,-0.0007438110019273512
0.0,-0.0009096605010295911
0.0,-0.0009328353296018526
0.0,-0.0008736015772452993
0.0,-0.0007221604257197059
0.0,-0.0006321632990785828
0.0,-0.0006991309082228024
0.0,-0.001655276258438572
0.0,-0.0007475624010887941
0.0,-0.0008013830925828073
0.0,-0.0004990908058846956
0.0,-0.0006353468078858372
0.0,-0.0008091017021940634
0.0,-0.002538502481658032
0.0,-0.0006670232526153895
0.0,-0.0006539157234376291
0.0,-0.0014696249302923435
0.0,-0.0007996557533802412
0.0,-0.0007961208258122753
0.0,-0.0005970204869610841
0.0,-0.0031405592774303233
0.0,-0.0012229407075847354
0.0,-0.0007910034467251616
0.0,-0.0007364960550127576
0.0,-0.001965375708900512
0.0,-0.0008279074907203248
0.0,-0.0008794469598407945
0.0,-0.0011861531962503499
0.0,-0.0006358024340771135
0.0,-0.000674591708557466
0.0,-0.0007533740697119938
0.0,-0.0007068809861635309
0.0,-0.0006729118030968093
0.0,-0.0006778253939879463
0.0,-0.0008296789135216023
0.0,-0.0009016040657867793
0.0,-0.0006836275292100701
0.0,-0.0006348558850457002
0.0,-0.00046366472791618075
0.0,-0.0007009084117331764
0.0,-0.0004988398805367959
0.0,-0.0008019054946762473
0.0,-0.0007876870119338425
0.0,-0.0005745979575898011
0.0,-0.00044635021385477247
0.0,-0.000933489667828205
0.0,-0.0005307281711859487
0.0,-0.0008030372497661873
0.0,-0.0006515661316431311
0.0,-0.0006456000083686176
0.0,-0.000582461541769622
0.0,-0.0012930955744878895
0.0,-0.0046642535901377374
0.0,-0.0005541512417144824
0.0,-0.000621536910446546
0.0,-0.0007303598669772097
0.0,-0.0006590546276582258
0.0,-0.0026795483709819716
0.0,-0.0006853117195585903
0.0,-0.0008510583372605023
0.0,-0.0007150388404034493
0.0,-0.000743466489645765
0.0,-0.0006582122495614977
0.0,-0.000703848053542491
0.0,-0.0009068883233932007
0.0,-0.0010681494971178415
0.0,-0.0006915353642152533
0.0,-0.0007682297274123785
0.0,-0.0006068941181251556
0.0,-0.0006946367241891067
0.0,-0.00039381740087303304
0.0,-0.0016317640736904062
0.0,-0.0005230538989069845
0.0,-0.0010456159028610016
0.0,-0.0009068883233932007
0.0,-0.000764734573218549
0.0,-0.0010890034109405143
0.0,-0.0006853117195585903
0.0,-0.0007077785091981812
0.0,-0.0006666195623142042
0.0,-0.0028931779890958307
0.0,-0.0010465799911553405
0.0,-0.0005128024222757301
0.0,-0.0008021724151267105
0.0,-0.0004675745473399422
0.0,-0.0005186640795743695
0.0,-0.005409584893031114
0.0,-0.0011914574963417322
0.0,-0.0010121999319037053
0.0,-0.0008804979956046338
0.0,-0.0004778834103157349
0.0,-0.0007533740697119938
0.0,-0.0004124184779060962
0.0,-0.0012810938441854987
0.0,-0.0008883478276525665
0.0,-0.0006044315613578646
0.0,-0.0007478560415022427
0.0,-0.0011106080268020167
0.0,-0.0007208410063209126
0.0,-0.0005991822914246246
0.0,-0.00973195203147427
0.0,-0.0016675083091159187
0.0,-0.0006915915584780771
0.0,-0.001002893089455648
0.0,-0.000594664593492647
0.0,-0.0004254798271386573
0.0,-0.0010948961990538087
0.0,-0.0004560150867959813
0.0,-0.0006959911075013395
0.0,-0.0004687587443631507
0.0,-0.005765835059285548
0.0,-0.0006246188559362196
0.0,-0.0008535878097362722
0.0,-0.0007298679059965193
0.0,-0.0007222960417992511
0.0,-0.0006959911075013395
0.0,-0.0009875310666460431
0.0,-0.0008894056775190239
0.0,-0.0007726644337600041
0.0,-0.001538291232590801
0.0,-0.0027298495352774664
0.0,-0.0008030372497661873
0.0,-0.0006544929962566424
0.0,-0.0009434786311639209
0.0,-0.005142211019516102
0.0,-0.0006700718096396357
0.0,-0.000858672994016863
0.0,-0.00039658954657225965
0.0,-0.0012078816104163829
0.0,-0.0007143571195789841
0.0,-0.0005886194111676888
0.0,-0.0008818981343354026
0.0,-0.0007298683727237101
0.0,-0.0007616500488601915
0.0,-0.0008055185909234459
0.0,-0.0007026990900625578
0.0,-0.0015204896107656708
0.0,-0.003262110647290746
0.0,-0.0008678098758512196
0.0,-0.0010889381831727255
0.0,-0.0008868732160838749
0.0,-0.0006681037775108469
0.0,-0.0010804902064411985
0.0,-0.0007419054528790025
0.0,-0.011939464121527002
0.0,-0.0010863996511092417
0.0,-0.0007924453757035591
0.0,-0.000819810478227071
0.0,-0.0008131209964286875
0.0,-0.0022563168984173366
0.0,-0.0005570635542488783
0.0,-0.0005882420442641052
0.0,-0.00080681988152913
0.0,-0.0010668831293671897
0.0,-0.0007523348944414533
0.0,-0.0005740505809080881
0.0,-0.0008994266150275901
0.0,-0.004522863720433204
0.0,-0.0004786452894350707
0.0,-0.0007042252375169342
0.0,-0.0004918365164019868
0.0,-0.001134650130974692
0.0,-0.0008048537516118724
0.0,-0.0013250408402813957
0.0,-0.0007118939697007645
0.0,-0.0004603670832451321
